Date,Plug-In Hybrid Electric Vehicle (PHEV) Count,Battery Electric Vehicle (BEV) Count,Electric Vehicle (EV) Total
January 31 2017,7687,14738,22425
February 28 2017,7888,15206,23094
March 31 2017,8092,15596,23688
April 30 2017,8286,16104,24390
May 31 2017,8497,16569,25066
June 30 2017,8751,16986,25737
July 31 2017,8931,17379,26310
August 31 2017,9147,17678,26825
September 30 2017,9374,18078,27452
October 31 2017,9649,18524,28173
November 30 2017,9888,18877,28765
December 31 2017,10120,19185,29305
January 31 2018,10534,19733,30267
February 28 2018,10833,19976,30809
March 31 2018,11180,20393,31573
April 30 2018,11514,20924,32438
May 31 2018,11933,21701,33634
June 30 2018,12356,22434,34790
July 31 2018,12649,22984,35633
August 31 2018,12963,23577,36540
September 30 2018,13292,24162,37454
October 31 2018,13640,25519,39159
November 30 2018,14020,26781,40801
December 31 2018,14343,27722,42065
January 31 2019,14726,29111,43837
February 28 2019,14891,29688,44579
March 31 2019,15038,30029,45067
April 30 2019,15293,31051,46344
May 31 2019,15558,31747,47305
June 30 2019,15807,32578,48385
July 31 2019,16070,33560,49630
August 31 2019,16275,34309,50584
September 30 2019,16507,35074,51581
October 31 2019,16788,36648,53436
November 30 2019,16960,37100,54060
December 31 2019,17130,37753,54883
January 31 2020,17353,39784,57137
February 29 2020,17465,40266,57731
March 31 2020,17608,40999,58607
April 30 2020,17567,41344,58911
May 31 2020,17580,41336,58916
June 30 2020,17681,41598,59279
July 31 2020,17817,42999,60816
August 31 2020,17963,43597,61560
September 30 2020,18174,44166,62340
October 31 2020,18428,45184,63612
November 30 2020,18602,46542,65144
December 31 2020,18892,47340,66232
January 31 2021,19224,48908,68132
February 28 2021,19512,49776,69288
March 31 2021,19868,50601,70469
April 30 2021,20325,52467,72792
May 31 2021,20727,53712,74439
June 30 2021,21314,54832,76146
July 31 2021,21718,56880,78598
August 31 2021,22133,58406,80539
September 30 2021,22462,59605,82067
October 31 2021,22874,61330,84204
November 30 2021,23283,62966,86249
December 31 2021,23563,64468,88031
January 31 2022,23899,66059,89958
February 28 2022,24203,67657,91860
March 31 2022,24657,69255,93912
April 30 2022,25015,71656,96671
May 31 2022,25484,73044,98528
June 30 2022,25997,74731,100728
July 31 2022,26300,77190,103490
August 31 2022,26754,79507,106261
September 30 2022,27095,80945,108040
October 31 2022,27445,84197,111642
November 30 2022,27791,87470,115261
December 31 2022,28212,89792,118004
January 31 2023,28737,93029,121766
February 28 2023,29269,95457,124726
March 31 2023,29908,97918,127826
April 30 2023,30812,101215,132027
May 31 2023,31544,104608,136152
June 30 2023,32316,107770,140086
July 31 2023,32731,110865,143596
